PassengerId,Age
18,51
20,22
27,29
29,25
30,23
32,57
33,19
37,20
43,0
46,29
47,20
48,27
49,15
56,45
65,64
66,7
77,23
78,28
83,31
88,20
96,22
102,29
108,29
110,28
122,19
127,20
599,9
141,40
155,27
159,37
160,4
167,48
169,60
177,5
181,7
182,39
186,38
187,27
197,28
199,21
202,16
215,22
224,22
236,21
816,39
251,19
257,38
265,21
271,28
275,29
278,18
285,0
296,31
299,47
301,20
302,24
304,46
305,28
307,42
325,19
331,29
335,49
336,30
348,32
525,18
359,22
523,30
365,27
410,3
369,26
376,28
385,27
389,20
486,8
411,42
412,28
414,21
230,12
421,0
426,54
429,28
432,36
728,28
452,28
458,41
460,16
465,34
467,21
469,22
471,39
476,40
482,37
565,63
491,19
416,31
498,55
503,21
360,23
512,66
518,29
769,27
368,35
528,57
698,21
242,18
539,69
553,21
558,42
561,30
564,39
455,24
574,22
579,28
590,22
594,40
597,31
602,42
603,37
261,26
613,25
614,22
630,17
634,29
640,36
644,32
649,18
651,23
654,16
657,27
668,49
670,48
675,15
681,26
693,38
532,17
710,4
712,0
719,19
733,39
739,20
740,32
741,45
761,21
767,45
829,19
833,30
838,20
241,19
847,18
850,47
860,30
864,14
869,35
879,23
889,7